Post Order (Old To New),Reactions,Comments,Reposts,C2R,Type
1,47691,661,810,0.013860057453188232,video
2,930,30,0,0.03225806451612903,images
3,1533,50,49,0.03261578604044357,"other (repost, text, link)"
4,2031,66,169,0.03249630723781388,"other (repost, text, link)"
5,3856,66,90,0.01711618257261411,images
6,2459,89,61,0.036193574623830826,video
7,2871,115,101,0.04005572971090213,images
8,4075,119,172,0.02920245398773006,images
9,1975,108,198,0.05468354430379747,images
10,5020,90,494,0.017928286852589643,images
11,1425,42,100,0.029473684210526315,video
12,4627,68,371,0.014696347525394424,images
13,1223,47,91,0.038430089942763694,images
14,3556,74,188,0.02080989876265467,"other (repost, text, link)"
15,1417,62,45,0.043754410726887794,images
16,2230,75,261,0.033632286995515695,images
17,3834,100,38,0.02608242044861763,images
18,6548,98,54,0.014966401954795358,images
19,2462,68,100,0.02761982128350934,"other (repost, text, link)"
20,994,42,30,0.04225352112676056,"other (repost, text, link)"
21,920,50,69,0.05434782608695652,"other (repost, text, link)"
22,12406,218,151,0.017572142511687892,"other (repost, text, link)"
23,23630,324,347,0.013711383834109183,images
24,6634,138,650,0.0208019294543262,images
25,2699,62,164,0.02297147091515376,images
26,4245,88,69,0.02073027090694935,video
27,18509,344,274,0.018585552974228755,images
28,1088,39,40,0.035845588235294115,images
29,2763,92,86,0.03329714078899747,"other (repost, text, link)"
30,990,35,35,0.03535353535353535,"other (repost, text, link)"
31,10561,145,247,0.013729760439352335,images
32,38936,654,389,0.016796794740086295,images
33,1151,51,46,0.044309296264118156,images
34,1647,47,27,0.02853673345476624,"other (repost, text, link)"
35,49073,740,1072,0.015079575326554318,"other (repost, text, link)"
36,2959,202,157,0.0682663061845218,"other (repost, text, link)"
37,13068,244,175,0.01867156412610958,"other (repost, text, link)"
38,1097,49,60,0.044667274384685506,"other (repost, text, link)"
39,2403,73,67,0.030378693300041615,"other (repost, text, link)"
40,3505,106,62,0.030242510699001426,video
41,1570,45,89,0.028662420382165606,"other (repost, text, link)"
42,4997,98,363,0.01961176706023614,images
43,16269,311,188,0.019116110394000862,images
44,1949,69,67,0.03540277065161621,"other (repost, text, link)"
45,3583,145,70,0.04046888082612336,images
46,748,69,32,0.09224598930481283,images
47,246,4,13,0.016260162601626018,"other (repost, text, link)"
48,1238,79,29,0.06381260096930533,"other (repost, text, link)"
49,1188,58,45,0.04882154882154882,images
